air_temperature_2m,time
271.370819,1647043200.0
270.397156,1647046800.0
269.911011,1647050400.0
269.699951,1647054000.0
269.601532,1647057600.0
269.337708,1647061200.0
269.527924,1647064800.0
270.65744,1647068400.0
272.157928,1647072000.0
273.591583,1647075600.0
274.514526,1647079200.0
275.658691,1647082800.0
276.779572,1647086400.0
277.35083,1647090000.0
277.21579,1647093600.0
276.38266,1647097200.0
274.583252,1647100800.0
272.723969,1647104400.0
271.622437,1647108000.0
270.723633,1647111600.0
270.010925,1647115200.0
269.456696,1647118800.0
268.81366,1647122400.0
268.357239,1647126000.0
269.046356,1647129600.0
268.329773,1647133200.0
267.836395,1647136800.0
267.227783,1647140400.0
266.703827,1647144000.0
266.2836,1647147600.0
266.612793,1647151200.0
268.40387,1647154800.0
270.848511,1647158400.0
273.648193,1647162000.0
275.780029,1647165600.0
277.644592,1647169200.0
278.975067,1647172800.0
279.030579,1647176400.0
278.55191,1647180000.0
277.48764,1647183600.0
275.753723,1647187200.0
273.671814,1647190800.0
272.078125,1647194400.0
271.125427,1647198000.0
270.319305,1647201600.0
269.385925,1647205200.0
268.773193,1647208800.0
268.327728,1647212400.0
265.918365,1647216000.0
265.724823,1647219600.0
265.84549,1647223200.0
266.054047,1647226800.0
265.640045,1647230400.0
265.574829,1647234000.0
266.192383,1647237600.0
268.533783,1647241200.0
271.443573,1647244800.0
273.835358,1647248400.0
276.407257,1647252000.0
278.924164,1647255600.0
279.989777,1647259200.0
279.993622,1647262800.0
279.271179,1647266400.0
277.734222,1647270000.0
275.053986,1647273600.0
272.396423,1647277200.0
271.068481,1647280800.0
270.276367,1647284400.0
269.445007,1647288000.0
268.747681,1647291600.0
268.171326,1647295200.0
267.370422,1647298800.0
267.929565,1647302400.0
267.296509,1647306000.0
266.733582,1647309600.0
266.318298,1647313200.0
266.028351,1647316800.0
266.115326,1647320400.0
267.241577,1647324000.0
269.582611,1647327600.0
272.634918,1647331200.0
275.807373,1647334800.0
278.094299,1647338400.0
279.175049,1647342000.0
279.792755,1647345600.0
279.590271,1647349200.0
279.179108,1647352800.0
277.821655,1647356400.0
276.007599,1647360000.0
273.876465,1647363600.0
271.988953,1647367200.0
270.759949,1647370800.0
269.805481,1647374400.0
269.125916,1647378000.0
268.71463,1647381600.0
268.196075,1647385200.0
268.167114,1647388800.0
268.070984,1647392400.0
267.809479,1647396000.0
267.197083,1647399600.0
267.175751,1647403200.0
266.7901,1647406800.0
267.141968,1647410400.0
269.024048,1647414000.0
271.944702,1647417600.0
274.71936,1647421200.0
276.172485,1647424800.0
277.414398,1647428400.0
278.49118,1647432000.0
279.158234,1647435600.0
278.352722,1647439200.0
276.761414,1647442800.0
274.676788,1647446400.0
272.189575,1647450000.0
270.9021,1647453600.0
269.73761,1647457200.0
269.577911,1647460800.0
269.377594,1647464400.0
268.437866,1647468000.0
267.99408,1647471600.0
268.419189,1647475200.0
267.904175,1647478800.0
267.639832,1647482400.0
267.371887,1647486000.0
266.874176,1647489600.0
266.720215,1647493200.0
267.997314,1647496800.0
270.19043,1647500400.0
273.1474,1647504000.0
275.152649,1647507600.0
276.82135,1647511200.0
278.546509,1647514800.0
279.573181,1647518400.0
279.943176,1647522000.0
279.950439,1647525600.0
278.835693,1647529200.0
276.893433,1647532800.0
274.595123,1647536400.0
273.089844,1647540000.0
271.982635,1647543600.0
271.429443,1647547200.0
270.864044,1647550800.0
270.241028,1647554400.0
269.663818,1647558000.0
269.968445,1647561600.0
269.540283,1647565200.0
269.531677,1647568800.0
269.497437,1647572400.0
269.420654,1647576000.0
269.433044,1647579600.0
270.538483,1647583200.0
272.92627,1647586800.0
274.365662,1647590400.0
275.701752,1647594000.0
276.432404,1647597600.0
277.039734,1647601200.0
277.156738,1647604800.0
276.655243,1647608400.0
276.21225,1647612000.0
275.752838,1647615600.0
275.451599,1647619200.0
275.471283,1647622800.0
275.457336,1647626400.0
275.304077,1647630000.0
275.266235,1647633600.0
274.796814,1647637200.0
275.00238,1647640800.0
274.912231,1647644400.0
274.957886,1647648000.0
272.897034,1647651600.0
271.423676,1647655200.0
270.560333,1647658800.0
269.847595,1647662400.0
269.33667,1647666000.0
270.080109,1647669600.0
271.784637,1647673200.0
273.817627,1647676800.0
276.026855,1647680400.0
278.161835,1647684000.0
279.340729,1647687600.0
279.876495,1647691200.0
280.189941,1647694800.0
279.82782,1647698400.0
279.233002,1647702000.0
278.44223,1647705600.0
276.571747,1647709200.0
275.82785,1647712800.0
275.935303,1647716400.0
275.321259,1647720000.0
273.684235,1647723600.0
273.130707,1647727200.0
274.640015,1647730800.0
273.566437,1647734400.0
273.185883,1647738000.0
273.197357,1647741600.0
273.130707,1647745200.0
272.81897,1647748800.0
273.250946,1647752400.0
274.013824,1647756000.0
275.634949,1647759600.0
277.738251,1647763200.0
279.455597,1647766800.0
280.888885,1647770400.0
281.714661,1647774000.0
282.161346,1647777600.0
282.528168,1647781200.0
282.242889,1647784800.0
281.156616,1647788400.0
279.670319,1647792000.0
277.900818,1647795600.0
276.861328,1647799200.0
275.957123,1647802800.0
275.46405,1647806400.0
274.886658,1647810000.0
274.447388,1647813600.0
274.052124,1647817200.0
273.80835,1647820800.0
273.086365,1647824400.0
272.204498,1647828000.0
272.059845,1647831600.0
272.110046,1647835200.0
271.990479,1647838800.0
273.647461,1647842400.0
276.075562,1647846000.0
278.429047,1647849600.0
280.273743,1647853200.0
281.706787,1647856800.0
282.696564,1647860400.0
282.954712,1647864000.0
282.892761,1647867600.0
282.483795,1647871200.0
281.233887,1647874800.0
279.177246,1647878400.0
277.086945,1647882000.0
276.340973,1647885600.0
276.23172,1647889200.0
275.664307,1647892800.0
273.972351,1647896400.0
272.638,1647900000.0
271.765442,1647903600.0
272.570496,1647907200.0
272.234863,1647910800.0
271.835327,1647914400.0
271.386719,1647918000.0
271.062866,1647921600.0
270.84845,1647925200.0
272.319153,1647928800.0
274.579559,1647932400.0
276.595581,1647936000.0
278.344788,1647939600.0
279.68219,1647943200.0
280.485413,1647946800.0
280.878418,1647950400.0
280.647217,1647954000.0
280.146149,1647957600.0
279.240295,1647961200.0
277.346558,1647964800.0
275.151154,1647968400.0
274.085236,1647972000.0
273.164703,1647975600.0
272.583832,1647979200.0
272.043335,1647982800.0
271.043762,1647986400.0
269.990112,1647990000.0
269.279114,1647993600.0
269.030304,1647997200.0
268.687805,1648000800.0
268.25705,1648004400.0
269.436462,1648008000.0
270.826447,1648011600.0
271.886658,1648015200.0
272.809998,1648018800.0
273.48407,1648022400.0
274.19519,1648026000.0
274.828125,1648029600.0
275.969635,1648033200.0
277.37265,1648036800.0
278.370422,1648040400.0
278.713928,1648044000.0
278.489258,1648047600.0
277.093353,1648051200.0
274.958984,1648054800.0
