TimeStamp,WindSpeed_mps,RotorSpeed_rpm
2018-04-01 02:56:17.799,6.52308,0.09000664
2018-04-01 02:56:24.909,6.354853,0.09000664
2018-04-01 02:58:25.322,6.925909,0.1200088
2018-04-01 03:04:45.579,7.951291,0.03000221
2018-04-01 03:09:27.194,5.708267,0
2018-04-01 03:14:25.533,7.174243,0.03000221
2018-04-01 03:17:49.226,6.556268,0.01500111
2018-04-01 03:17:51.289,7.496964,0
2018-04-01 03:18:50.564,6.02641,0.01500111
2018-04-01 03:20:29.656,6.527658,0
2018-04-01 03:21:44.414,5.450777,0
2018-04-01 03:27:25.284,4.991873,0.01500111
2018-04-01 03:27:53.905,7.586227,0
2018-04-01 03:28:14.305,6.644386,0.01500111
2018-04-01 03:32:22.341,6.138562,0
2018-04-01 03:32:30.513,5.643036,0
2018-04-01 03:32:43.812,4.087797,-0.04500332
2018-04-01 03:36:08.296,2.776314,0
2018-04-01 03:37:50.493,3.93788,0
2018-04-01 03:42:11.098,3.895538,0.03000221
2018-04-01 03:44:48.344,3.544207,-0.03000221
2018-04-01 03:45:06.700,4.725227,0
2018-04-01 03:45:59.947,4.617654,0
2018-04-01 03:48:50.682,3.825729,0.1500111
2018-04-01 03:51:47.597,4.757271,0.07500553
2018-04-01 03:54:08.680,3.380558,-0.01500111
2018-04-01 03:56:03.985,5.586961,0.01500111
2018-04-01 03:56:57.162,4.570734,0.01500111
2018-04-01 03:58:21.764,4.48147,-0.03000221
2018-04-01 04:08:09.479,5.441622,0
2018-04-01 04:10:58.752,4.916342,0.07500553
2018-04-01 04:12:06.029,4.973562,0.07500553
2018-04-01 04:14:07.373,3.366825,0
2018-04-01 04:14:31.899,5.525163,0
2018-04-01 04:18:27.357,4.336132,0
2018-04-01 04:19:20.584,6.52308,-0.01500111
2018-04-01 04:19:41.994,4.916342,-0.07500553
2018-04-01 04:22:27.382,5.300861,0.06000442
2018-04-01 04:22:38.689,6.274745,0.06000442
2018-04-01 04:24:47.504,6.420084,0.1050077
2018-04-01 04:25:05.880,6.298778,0.1350099
2018-04-01 04:25:50.965,5.446199,0.2100155
2018-04-01 04:27:37.148,5.202442,0.06000442
2018-04-01 04:27:38.149,5.759765,0.04500332
2018-04-01 04:28:05.709,4.532969,0.04500332
2018-04-01 04:28:32.477,5.216175,0.04500332
2018-04-01 04:29:34.617,6.064176,0.1050077
2018-04-01 04:31:08.482,5.459932,0
2018-04-01 04:31:24.715,4.584466,0.04500332
2018-04-01 04:32:09.650,6.144283,0.03000221
2018-04-01 04:35:44.088,5.806685,0.1050077
2018-04-01 04:36:56.592,4.467738,0.06000442
2018-04-01 04:40:30.680,6.597466,0.04500332
2018-04-01 04:41:52.448,5.576661,0.06000442
2018-04-01 04:45:39.274,5.361514,0.06000442
2018-04-01 04:46:35.615,6.129406,0.09000664
2018-04-01 04:48:54.665,4.860267,0.1500111
2018-04-01 04:51:57.447,4.622231,0.07500553
2018-04-01 04:53:25.154,4.841956,0.09000664
2018-04-01 04:54:01.826,4.490625,0.03000221
2018-04-01 04:56:58.500,3.324482,0.01500111
2018-04-01 05:00:42.913,5.488542,0.09000664
2018-04-01 05:02:03.849,6.077909,0.1050077
2018-04-01 05:02:24.269,5.520586,0.1050077
2018-04-01 05:08:04.668,6.097363,0.06000442
2018-04-01 05:09:12.135,5.679657,0.03000221
2018-04-01 05:10:09.538,5.679657,0.04500332
2018-04-01 05:12:26.605,6.209514,0.1200088
2018-04-01 05:12:54.124,7.028905,0.1350099
2018-04-01 05:13:03.278,6.607766,0.1650122
