id	tiekunta_id	vuosi	avustus
2352	122	2019	1510
2353	233	2019	1760
2354	19	2019	1700
2355	50	2019	550
2356	156	2019	750
2357	178	2019	290
2358	182	2019	240
2359	221	2019	330
2360	52	2019	120
2361	109	2019	200
2362	108	2019	950
2363	103	2019	820
2364	183	2019	600
2365	169	2019	1430
2366	242	2019	1540
2367	69	2019	340
2368	89	2019	290
2369	36	2019	530
2370	211	2019	400
2371	209	2019	1260
2372	229	2019	340
2373	53	2019	790
2374	80	2019	1000
2375	146	2019	480
2376	193	2019	830
2377	57	2019	170
2378	184	2019	600
2379	192	2019	1730
2380	235	2019	720
2381	112	2019	330
2382	107	2019	240
2383	127	2019	530
2384	152	2019	270
2385	66	2019	1030
2386	179	2019	260
2387	236	2019	440
2388	200	2019	380
2389	165	2019	420
2390	138	2019	420
2391	216	2019	740
2392	47	2019	370
2393	150	2019	270
2394	145	2019	260
2395	101	2019	120
2396	18	2019	160
2397	56	2019	900
2398	86	2019	570
2399	171	2019	880
2400	202	2019	845
2401	204	2019	2750
2402	110	2019	360
2403	199	2019	240
2404	232	2019	1440
2405	23	2019	740
2406	238	2019	910
2407	225	2019	790
2408	85	2019	140
2409	59	2019	470
2410	17	2019	260
2411	234	2019	1020
2412	223	2019	1330
2413	189	2019	740
2414	116	2019	430
2415	97	2019	370
2416	93	2019	390
2417	78	2019	710
2418	11	2019	650
2419	91	2019	440
2420	128	2019	690
2421	140	2019	1000
2422	143	2019	630
2423	191	2019	1350
2424	133	2019	440
2425	149	2019	1230
2426	240	2019	120
2427	6	2019	300
2428	40	2019	320
2429	63	2019	460
2430	134	2019	790
2431	154	2019	690
2432	177	2019	770
2433	228	2019	130
2434	231	2019	460
2435	87	2019	600
2436	207	2019	565
2437	48	2019	550
2438	95	2019	680
2439	115	2019	320
2440	117	2019	300
2441	137	2019	170
2442	5	2019	1010
2443	12	2019	360
2444	34	2019	120
2445	44	2019	1020
2446	104	2019	1350
2447	233	2020	1760
2448	171	2020	880
2449	83	2020	990
2450	235	2020	720
2451	39	2020	420
2452	122	2020	1510
2453	111	2020	2010
2454	61	2020	320
2455	138	2020	420
2456	192	2020	1730
2457	110	2020	360
2458	209	2020	1260
2459	56	2020	900
2460	51	2020	880
2461	7	2020	240
2462	9	2020	190
2463	159	2020	830
2464	179	2020	260
2465	149	2020	1230
2466	66	2020	1030
2467	236	2020	440
2468	103	2020	820
2469	6	2020	300
2470	184	2020	600
2471	178	2020	290
2472	152	2020	270
2473	156	2020	750
2474	128	2020	690
2475	145	2020	260
2476	11	2020	650
2477	234	2020	1020
2478	50	2020	550
2479	25	2020	750
2480	112	2020	330
2481	222	2020	580
2482	73	2020	740
2483	52	2020	120
2484	93	2020	390
2485	63	2020	460
2486	223	2020	1330
2487	183	2020	600
2488	17	2020	260
2489	16	2020	260
2490	232	2020	1440
2491	200	2020	380
2492	47	2020	370
2493	191	2020	1350
2494	182	2020	240
2495	78	2020	710
2496	23	2020	740
2497	117	2020	300
2498	231	2020	460
2499	40	2020	320
2500	154	2020	690
2501	36	2020	530
2502	140	2020	1000
2503	228	2020	130
2504	165	2020	420
2505	95	2020	680
2506	53	2020	790
2507	225	2020	790
2508	87	2020	600
2509	177	2020	770
2510	101	2020	120
2511	44	2020	1020
2512	5	2020	1010
2513	89	2020	290
2514	85	2020	140
2515	137	2020	170
2516	238	2020	910
2517	134	2020	790
2518	8	2020	230
2519	104	2020	1350
2520	48	2020	550
2521	91	2020	440
2522	19	2020	1700
2523	186	2020	750
2524	57	2020	170
2525	133	2020	440
2526	211	2020	400
2527	242	2020	1540
2528	108	2020	950
2529	169	2020	1430
2530	69	2020	340
2531	12	2020	360
2532	202	2020	845
2533	204	2020	2750
2534	107	2020	240
2535	216	2020	740
2536	127	2020	530
2537	116	2020	430
2538	189	2020	740
2539	229	2020	340
2540	150	2020	270
2541	143	2020	630
2542	114	2020	430
2543	204	2020	2750
2544	202	2020	845
2545	80	2020	1000
2546	240	2020	120
2547	193	2020	830
2548	146	2020	480
2549	221	2020	330
2550	86	2020	570
2551	97	2020	370
2654	5	2021	1202
2655	6	2021	153
2656	7	2021	200
2657	8	2021	99
2658	9	2021	93
2659	11	2021	285
2660	12	2021	867
2661	17	2021	638
2662	18	2021	256
2663	19	2021	2426
2664	23	2021	437
2665	25	2021	1386
2666	36	2021	577
2667	39	2021	850
2668	40	2021	235
2669	44	2021	1515
2670	47	2021	616
2671	48	2021	565
2672	50	2021	555
2673	51	2021	737
2674	53	2021	807
2675	56	2021	4139
2676	57	2021	235
2677	59	2021	641
2678	61	2021	308
2679	63	2021	1064
2680	66	2021	1520
2681	69	2021	146
2682	73	2021	471
2683	78	2021	1232
2684	80	2021	931
2685	83	2021	750
2686	86	2021	387
2687	87	2021	546
2688	89	2021	233
2689	91	2021	491
2690	93	2021	165
2691	95	2021	819
2692	97	2021	56
2693	101	2021	24
2694	103	2021	985
2695	104	2021	223
2696	107	2021	267
2697	108	2021	767
2698	110	2021	365
2699	111	2021	3011
2700	112	2021	212
2701	114	2021	143
2702	116	2021	2
2703	117	2021	575
2704	120	2021	1654
2705	122	2021	1811
2706	127	2021	718
2707	128	2021	448
2708	133	2021	680
2709	134	2021	907
2710	137	2021	248
2711	138	2021	159
2712	140	2021	669
2713	143	2021	699
2714	145	2021	410
2715	149	2021	568
2716	151	2021	76
2717	152	2021	158
2718	154	2021	881
2719	156	2021	1088
2720	159	2021	410
2721	165	2021	314
2722	169	2021	2058
2723	171	2021	492
2724	172	2021	1284
2725	177	2021	391
2726	178	2021	51
2727	179	2021	680
2728	182	2021	156
2729	183	2021	486
2730	184	2021	377
2731	186	2021	359
2732	189	2021	1181
2733	191	2021	1178
2734	192	2021	1842
2735	193	2021	856
2736	200	2021	875
2737	202	2021	467
2738	204	2021	3428
2739	209	2021	1142
2740	211	2021	227
2741	216	2021	634
2742	221	2021	501
2743	222	2021	44
2744	223	2021	626
2745	225	2021	694
2746	250	2021	859
2747	228	2021	298
2748	231	2021	56
2749	232	2021	1745
2750	233	2021	1753
2751	234	2021	348
2752	235	2021	443
2753	236	2021	598
2754	238	2021	343
2755	242	2021	1845
